Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_01x05_Socket","PinHeader_1x05_P2.54mm_Vertical",216.000000,-98.000000,180.000000,bottom
"J3","Conn_01x05_Socket","PinHeader_1x05_P2.54mm_Vertical",200.000000,-108.160000,0.000000,bottom
"J4","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",218.550000,-114.550000,90.000000,bottom
"J5","Conn_01x03_Socket","PinSocket_1x03_P2.54mm_Vertical",201.480000,-114.600000,90.000000,bottom
"J1","Conn_02x07_Odd_Even","PinHeader_2x07_P1.27mm_Vertical_SMD",207.950000,-101.600000,0.000000,top
